REF_DATE,commodity,VALUE
2015-01-01,0302,50910411
2015-01-01,0303,7813575
2015-01-01,0304,22338246
2015-01-01,0305,4477108
2015-01-01,2709,6705658347
2015-01-01,2711,1595685771
2015-01-01,3104,332445693
2015-01-01,7207,7038116
2015-01-01,7208,85763899
2015-01-01,7209,25912569
2015-01-01,7210,86625163
2015-01-01,7211,14109660
2015-01-01,7212,3583668
2015-01-01,7213,23488803
2015-01-01,7214,18502403
2015-01-01,7215,9734356
2015-01-01,7216,13044016
2015-01-01,7217,16954606
2015-01-01,7218,4473743
2015-01-01,7224,6809306
2015-01-01,7225,46425563
2015-01-01,7226,4304889
2015-01-01,7227,13068195
2015-01-01,7228,25620944
2015-01-01,7304,28670319
2015-01-01,7305,70492542
2015-01-01,7306,79149193
2015-01-01,7601,530410352
2015-01-01,7604,33877843
2015-01-01,7605,46558489
2015-01-01,7606,54363612
2015-01-01,7607,13577675
2015-01-01,940161,16873671
2015-01-01,440311,0
2015-01-01,440711,0
2015-01-01,440719,0
2015-01-01,440713,0
2015-01-01,440714,0
2015-02-01,0302,51978911
2015-02-01,0303,5636340
2015-02-01,0304,20249990
2015-02-01,0305,4032804
2015-02-01,2709,5064717286
2015-02-01,2711,1702563480
2015-02-01,3104,321790439
2015-02-01,7207,5623871
2015-02-01,7208,62936875
2015-02-01,7209,28115535
2015-02-01,7210,86180896
2015-02-01,7211,14720786
2015-02-01,7212,3384701
2015-02-01,7213,29355398
2015-02-01,7214,16550292
2015-02-01,7215,12114225
2015-02-01,7216,12739883
2015-02-01,7217,20441097
2015-02-01,7218,4307102
2015-02-01,7224,4784720
2015-02-01,7225,44683514
2015-02-01,7226,4138836
2015-02-01,7227,15033501
2015-02-01,7228,23876069
2015-02-01,7304,26181273
2015-02-01,7305,57382909
2015-02-01,7306,80685031
2015-02-01,7601,483953189
2015-02-01,7604,37933121
2015-02-01,7605,39321246
2015-02-01,7606,51571194
2015-02-01,7607,10449458
2015-02-01,940161,17435390
2015-02-01,440311,0
2015-02-01,440711,0
2015-02-01,440719,0
2015-02-01,440713,0
2015-02-01,440714,0
2015-03-01,0302,71876325
2015-03-01,0303,4336406
2015-03-01,0304,22725637
2015-03-01,0305,5234582
2015-03-01,2709,5024857309
2015-03-01,2711,1246230003
2015-03-01,3104,426910893
2015-03-01,7207,10378647
2015-03-01,7208,75062068
2015-03-01,7209,25761310
2015-03-01,7210,100076139
2015-03-01,7211,9501606
2015-03-01,7212,3640418
2015-03-01,7213,24473223
2015-03-01,7214,18516207
2015-03-01,7215,14350553
2015-03-01,7216,16622965
2015-03-01,7217,23582183
2015-03-01,7218,3035812
2015-03-01,7224,4533111
2015-03-01,7225,52718564
2015-03-01,7226,5566077
2015-03-01,7227,16619056
2015-03-01,7228,31157451
2015-03-01,7304,26461525
2015-03-01,7305,81409738
2015-03-01,7306,98254370
2015-03-01,7601,544394970
2015-03-01,7604,43894073
2015-03-01,7605,53774504
2015-03-01,7606,60054623
2015-03-01,7607,12283730
2015-03-01,940161,21280167
2015-03-01,440311,0
2015-03-01,440711,0
2015-03-01,440719,0
2015-03-01,440713,0
2015-03-01,440714,0
2015-04-01,0302,74210003
2015-04-01,0303,4603163
2015-04-01,0304,22901623
2015-04-01,0305,5183075
2015-04-01,2709,5260168213
2015-04-01,2711,795152689
2015-04-01,3104,382075732
2015-04-01,7207,13771790
2015-04-01,7208,65007434
2015-04-01,7209,26683808
2015-04-01,7210,92183990
2015-04-01,7211,9836314
2015-04-01,7212,3151923
2015-04-01,7213,23635857
2015-04-01,7214,18121978
2015-04-01,7215,11962993
2015-04-01,7216,17690045
2015-04-01,7217,19872218
2015-04-01,7218,522359
2015-04-01,7224,2527146
2015-04-01,7225,49813600
2015-04-01,7226,4999266
2015-04-01,7227,15108799
2015-04-01,7228,26093301
2015-04-01,7304,9514995
2015-04-01,7305,60726128
2015-04-01,7306,85564583
2015-04-01,7601,529576230
2015-04-01,7604,39632820
2015-04-01,7605,40987094
2015-04-01,7606,51295408
2015-04-01,7607,10657828
2015-04-01,940161,20295906
2015-04-01,440311,0
2015-04-01,440711,0
2015-04-01,440719,0
2015-04-01,440713,0
2015-04-01,440714,0
2015-05-01,0302,72010151
2015-05-01,0303,3981555
2015-05-01,0304,23395875
2015-05-01,0305,3724068
2015-05-01,2709,4696335126
2015-05-01,2711,767868481
2015-05-01,3104,308648351
2015-05-01,7207,12133554
2015-05-01,7208,69672350
2015-05-01,7209,19829998
2015-05-01,7210,87538232
2015-05-01,7211,8927019
2015-05-01,7212,2862874
2015-05-01,7213,22296323
2015-05-01,7214,15519201
2015-05-01,7215,10162367
2015-05-01,7216,14736643
2015-05-01,7217,19097540
2015-05-01,7218,1680592
2015-05-01,7224,1789132
2015-05-01,7225,35423241
2015-05-01,7226,4078806
2015-05-01,7227,12738314
2015-05-01,7228,23720661
2015-05-01,7304,12108988
2015-05-01,7305,44851285
2015-05-01,7306,80965096
2015-05-01,7601,530506976
2015-05-01,7604,39406860
2015-05-01,7605,36980282
2015-05-01,7606,52951603
2015-05-01,7607,10061380
2015-05-01,940161,19517200
2015-05-01,440311,0
2015-05-01,440711,0
2015-05-01,440719,0
2015-05-01,440713,0
2015-05-01,440714,0
2015-06-01,0302,95253457
2015-06-01,0303,4872108
2015-06-01,0304,33136388
2015-06-01,0305,5476698
2015-06-01,2709,5397140031
2015-06-01,2711,751875580
2015-06-01,3104,253704010
2015-06-01,7207,10244345
2015-06-01,7208,77703366
2015-06-01,7209,24961232
2015-06-01,7210,93807545
2015-06-01,7211,12146108
2015-06-01,7212,4129119
2015-06-01,7213,29909709
2015-06-01,7214,18653499
2015-06-01,7215,15696390
2015-06-01,7216,21867938
2015-06-01,7217,26673198
2015-06-01,7218,1723296
2015-06-01,7224,1984186
2015-06-01,7225,46344239
2015-06-01,7226,4269454
2015-06-01,7227,11975388
2015-06-01,7228,21465881
2015-06-01,7304,11971054
2015-06-01,7305,44971926
2015-06-01,7306,88118006
2015-06-01,7601,527012363
2015-06-01,7604,41298920
2015-06-01,7605,42879267
2015-06-01,7606,58806882
2015-06-01,7607,11130868
2015-06-01,940161,21219791
2015-06-01,440311,0
2015-06-01,440711,0
2015-06-01,440719,0
2015-06-01,440713,0
2015-06-01,440714,0
2015-07-01,0302,77863558
2015-07-01,0303,8663252
2015-07-01,0304,30929506
2015-07-01,0305,4555836
2015-07-01,2709,6283787795
2015-07-01,2711,795964274
2015-07-01,3104,186252632
2015-07-01,7207,11263325
2015-07-01,7208,80681737
2015-07-01,7209,22039799
2015-07-01,7210,83245027
2015-07-01,7211,11950122
2015-07-01,7212,4423555
2015-07-01,7213,24831885
2015-07-01,7214,14427862
2015-07-01,7215,10055022
2015-07-01,7216,16706830
2015-07-01,7217,19045727
2015-07-01,7218,963748
2015-07-01,7224,3154203
2015-07-01,7225,46808826
2015-07-01,7226,5323103
2015-07-01,7227,13173154
2015-07-01,7228,19179904
2015-07-01,7304,8327402
2015-07-01,7305,37547700
2015-07-01,7306,82969283
2015-07-01,7601,533418906
2015-07-01,7604,38974344
2015-07-01,7605,37586534
2015-07-01,7606,49722780
2015-07-01,7607,13107118
2015-07-01,940161,22101383
2015-07-01,440311,0
2015-07-01,440711,0
2015-07-01,440719,0
2015-07-01,440713,0
2015-07-01,440714,0
2015-08-01,0302,86718416
2015-08-01,0303,7286702
2015-08-01,0304,29710589
2015-08-01,0305,4999190
2015-08-01,2709,6088877272
2015-08-01,2711,825790231
2015-08-01,3104,223920288
2015-08-01,7207,9583997
2015-08-01,7208,81512028
2015-08-01,7209,23208417
2015-08-01,7210,89176785
2015-08-01,7211,13148311
2015-08-01,7212,3991501
2015-08-01,7213,25519537
2015-08-01,7214,14347844
2015-08-01,7215,11169995
2015-08-01,7216,18815387
2015-08-01,7217,20614955
2015-08-01,7218,2103999
2015-08-01,7224,4284673
2015-08-01,7225,50286559
2015-08-01,7226,7948298
2015-08-01,7227,12993441
2015-08-01,7228,23813125
2015-08-01,7304,8597114
2015-08-01,7305,36815455
2015-08-01,7306,85499549
2015-08-01,7601,452009005
2015-08-01,7604,38048800
2015-08-01,7605,41256780
2015-08-01,7606,58597311
2015-08-01,7607,10251083
2015-08-01,940161,22312573
2015-08-01,440311,0
2015-08-01,440711,0
2015-08-01,440719,0
2015-08-01,440713,0
2015-08-01,440714,0
2015-09-01,0302,69176195
2015-09-01,0303,8045757
2015-09-01,0304,27702845
2015-09-01,0305,4896638
2015-09-01,2709,5561351215
2015-09-01,2711,834874259
2015-09-01,3104,311324411
2015-09-01,7207,7148896
2015-09-01,7208,78572804
2015-09-01,7209,24100432
2015-09-01,7210,87888274
2015-09-01,7211,14929118
2015-09-01,7212,3370636
2015-09-01,7213,27650916
2015-09-01,7214,14789720
2015-09-01,7215,11471133
2015-09-01,7216,15622731
2015-09-01,7217,21477676
2015-09-01,7218,1544193
2015-09-01,7224,4812029
2015-09-01,7225,45606078
2015-09-01,7226,6861790
2015-09-01,7227,12123724
2015-09-01,7228,19884462
2015-09-01,7304,21655540
2015-09-01,7305,19420557
2015-09-01,7306,92837567
2015-09-01,7601,445534159
2015-09-01,7604,41518661
2015-09-01,7605,40731696
2015-09-01,7606,58450431
2015-09-01,7607,12582232
2015-09-01,940161,23313481
2015-09-01,440311,0
2015-09-01,440711,0
2015-09-01,440719,0
2015-09-01,440713,0
2015-09-01,440714,0
2015-10-01,0302,60747593
2015-10-01,0303,5570973
2015-10-01,0304,28418036
2015-10-01,0305,5434160
2015-10-01,2709,4242591687
2015-10-01,2711,821120836
2015-10-01,3104,327081873
2015-10-01,7207,6283928
2015-10-01,7208,60706435
2015-10-01,7209,22308613
2015-10-01,7210,78829106
2015-10-01,7211,16827617
2015-10-01,7212,4257767
2015-10-01,7213,26303568
2015-10-01,7214,13561660
