commodity,group,rate,avg_gap_pct
7214,treated,50,-75.9
7208,treated,50,-74.0
7212,treated,50,-66.2
7209,treated,50,-56.6
7211,treated,50,-56.0
7216,treated,50,-55.4
7304,treated,50,-49.7
7225,treated,50,-48.2
7217,treated,50,-45.9
440711,treated,10,-43.8
7213,treated,50,-42.9
7215,treated,50,-41.5
7228,treated,50,-39.8
7210,treated,50,-39.4
940161,treated,25,-36.6
7227,treated,50,-34.6
7306,treated,50,-29.1
440714,treated,10,-28.4
7601,treated,50,-24.4
7606,treated,50,-23.5
7604,treated,50,-23.2
7226,treated,50,-22.7
2711,control,0,-19.4
2709,control,0,-11.8
0305,control,0,-11.5
0303,control,0,-7.4
440713,treated,10,-6.2
7605,treated,50,-3.4
3104,control,0,5.5
0304,control,0,5.6
0302,control,0,5.8
7607,treated,50,6.5
