commodity,group,avg_gap_pct
Basic and semi-finished iron or steel products [312],treated,-46.5
Natural gas [142],excluded,-31.7
Passenger cars and light trucks [411],treated,-13.8
"Unwrought iron, steel and ferro-alloys [311]",treated,-12.8
"Medium and heavy trucks, buses, and other motor vehicles [412]",treated,-12.2
Basic and semi-finished products of aluminum and aluminum alloys [327],treated,-11.6
Lumber and other sawmill products [241],treated,-7.3
Unwrought aluminum and aluminum alloys [321],treated,-6.8
Furniture and fixtures [391],treated,-6.4
Crude oil and bitumen [141],control,-5.8
"Fish, crustaceans, shellfish and other fishery products [121]",control,-2.7
Motor vehicle engines and motor vehicle parts [413],treated,2.9
Potash [161],control,5.9
